HIGH,LOW
2,10
HIGH,LOW
3,9
HIGH,LOW
3,9
HIGH,LOW
3,9
HIGH,LOW
3,10
HIGH,LOW
2,10
HIGH,LOW
2,10
HIGH,LOW
2,5
HIGH,LOW
8,9
HIGH,LOW
3,9
HIGH,LOW
3,9
HIGH,LOW
3,52
HIGH,LOW
7,5
HIGH,LOW
8,4
HIGH,LOW
8,4
HIGH,LOW
8,5
HIGH,LOW
7,5
HIGH,LOW
7,5
HIGH,LOW
7,5
HIGH,LOW
7,5
HIGH,LOW
7,10
HIGH,LOW
3,9
HIGH,LOW
3,9
HIGH,LOW
3,9
HIGH,LOW
3,10
HIGH,LOW
2,10
HIGH,LOW
2,10
HIGH,LOW
2,10
HIGH,LOW
3,9
HIGH,LOW
3,9
HIGH,LOW
3,9
HIGH,LOW
3,9
HIGH,LOW
3,5
HIGH,LOW
7,10
HIGH,LOW
2,10
HIGH,LOW
2,10
